STUDY_ID	SAMPLE_ID	KRAS	BRCA1	POLE
brca_tcga_pub	TCGA-A2-A04Y-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0HQ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0ES-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BA-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A10B-01	1.9975	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0B1-01	1.6205	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0DH-01	0.8421	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0B4-01	0.8832	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0H9-01	0.6125	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A0J9-01	0.8718	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12G-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0SY-01	-0.5116	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0E7-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A03M-01	0.2941	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0BV-01	-0.3893	-0.0961	-0.0852
brca_tcga_pub	TCGA-BH-A0B8-01	-0.5138	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CZ-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0SU-01	0.3257	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12E-01	1.7278	-0.0961	-0.0852
brca_tcga_pub	TCGA-E2-A106-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CV-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-AO-A12C-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-B6-A0RG-01	-0.8369	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CS-01	0.8295	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0EO-01	1.2005	-0.0961	-0.0852
brca_tcga_pub	TCGA-A2-A0CQ-01	-0.2353	-0.0961	-0.0852
